Conference,Division,Name,Playoffs,SeasonType,Team,Season End,Game,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2,Goal Differential Close,Fenwick Close Differential
1,1,0,0,0,8,2016,60,64,43.13,44.52,45.47,44.44,12,15,43.48,20,26,50,43,43,43.9,18,23,43.48,10,13,55.22,111,90,50,220,220,48.82,497,521,37.28,214,360,37.31,125,210,49.45,45,46,46.96,85,96,44.29,163,205,33.46,90,179,37.5,54,90,56.6,60,46,47.93,116,126,44.28,236,297,33.02,107,217,26.22,43,121,-17,-312
1,1,28,1,0,9,2016,60,80,54.18,53.54,52.82,47.83,11,12,60.38,32,21,47.37,45,50,58.7,27,19,59.09,13,9,59.85,158,106,57.14,292,219,52.01,555,512,49.29,207,213,50.79,96,93,59.65,68,46,56.72,152,116,53.8,255,219,44.64,100,124,50.41,62,61,65.33,98,52,56.77,176,134,51.58,294,276,47.45,130,144,30.63,34,77,17,158
0,0,24,1,0,10,2016,60,69,50.82,49.45,48.96,46.67,14,16,42.5,17,23,52.17,48,44,54.76,23,19,40,8,12,55.45,112,90,54.46,275,230,50.91,588,567,47.43,231,256,43.89,79,101,62.37,58,35,57.07,105,79,51.3,237,225,54.84,102,84,41.67,25,35,65.35,66,35,67.26,150,73,58.79,271,190,46.96,108,122,36.78,32,55,-4,97
1,3,19,0,0,11,2016,60,50,48.95,48.14,48.67,44.44,12,15,43.75,21,27,48.28,42,45,47.62,20,22,38.89,7,11,57.32,141,105,54.83,312,257,47.31,510,568,44.78,180,222,37.68,78,129,51.82,57,53,56.02,149,117,45.7,202,240,40.65,63,92,35.16,32,59,61.59,93,58,58.7,199,140,47.74,285,312,43.69,90,116,40.68,48,70,-18,-80
0,0,20,1,0,12,2016,60,77,48.24,48.9,48.88,55,11,9,36.67,11,19,63.01,46,27,67.35,33,16,60,24,16,60.31,117,77,57.78,208,152,51.63,443,415,46.57,265,304,39.83,94,142,47.46,28,31,56.59,73,56,48.28,183,196,40.66,98,143,41.12,44,63,63.29,50,29,52.27,69,63,51.2,192,183,41.13,102,146,40.91,45,65,38,4
1,3,16,1,0,13,2016,60,76,57.13,56.78,55.44,42.86,6,8,54.55,18,15,59.55,53,36,59.18,29,20,50,15,15,57.43,58,43,61.87,318,196,55.5,585,469,53.03,280,248,45.08,110,134,64.44,29,16,64.12,168,94,59.84,301,202,52.96,134,119,47.79,54,59,72.31,47,18,66.08,189,97,58.7,334,235,45.17,117,142,44.78,60,74,27,458
1,1,29,1,0,14,2016,60,64,48.57,49.18,50.15,52.17,12,11,48.57,17,18,50.59,43,42,53.85,21,18,47.62,10,11,58.3,137,98,57.32,274,204,49.03,506,526,47.65,243,267,40.61,93,136,41.46,34,48,52.38,110,100,43.79,194,249,44.59,99,123,36.73,36,62,64.66,75,41,56.5,139,107,44.78,236,291,36.47,124,216,21.49,26,95,3,-43
0,0,5,0,0,15,2016,60,61,52.96,52.62,53.35,40,12,18,49.09,27,28,39.58,38,58,44.83,13,16,72.22,13,5,58.33,133,95,54.32,377,317,50.59,516,504,46.73,207,236,44.12,60,76,56.98,49,37,50.62,122,119,47.19,185,207,56.91,107,81,51.52,34,32,63.64,91,52,58.03,224,162,50.08,297,296,48.65,108,114,43.33,39,51,-22,50
0,2,9,0,0,16,2016,60,65,46.74,47.31,46.89,40.74,11,16,35.9,14,25,45.59,31,37,50,17,17,73.33,11,4,53.59,112,97,52.32,248,226,47.05,447,503,35.31,125,229,31.63,62,134,60,57,38,51.91,95,88,48.1,177,191,44.14,64,81,40,40,60,54.02,47,40,50.79,128,124,41.92,192,266,35.58,58,105,24.75,25,76,-15,-162
1,1,22,1,0,17,2016,60,67,52.68,54.18,53.42,45.16,14,17,46.67,21,24,45.45,40,48,55.56,20,16,56,14,11,59.54,181,123,62.59,251,150,51.41,493,466,48.61,279,295,46.09,106,124,60.45,81,53,70.11,129,55,56.02,214,168,45.42,109,131,45.12,37,45,63.98,103,58,57.42,147,109,46.21,238,277,45.81,153,181,35.83,43,77,-7,210
0,2,14,1,0,18,2016,60,73,49.59,49.51,49.55,52.94,9,8,54,27,23,48.96,47,49,50,24,24,56.52,13,10,58.03,112,81,47.28,252,281,47.74,549,601,43.04,198,262,44.09,82,104,57.89,55,40,57.2,135,101,49.9,241,242,45.59,93,111,43.86,25,32,66.38,77,39,53.42,164,143,48.55,334,354,37.66,87,144,35.35,35,64,6,-130
