Conference,Division,Name,Playoffs,SeasonType,Team,Season End,Game,Points,Corsi Close,Fenwick Close,SOG Close,G% Down 2,G For Down 2,G Agnst Down 2,G% Down 1,G For Down 1,G Agnst Down 1,G% Tied,G For Tied,G Agnst Tied,G% Up 1,G For Up 1,G Agnst Up 1,G% Up 2,G For Up 2,G Agnst Up 2,S% Down 2,S For Down 2,S Agnst Down 2,S% Down 1,S For Down 1,S Agnst Down 1,S% Tied,S For Tied,S Agnst Tied,S% Up 1,S For Up 1,S Agnst Up 1,S% Up 2,S For Up 2,S Agnst Up 2,M% Down 2,M For Down 2,M Agnst Down 2,M% Down 1,M For Down 1,M Agnst Down 1,M% Tied,M For Tied,M Agnst Tied,M% Up 1,M For Up 1,M Agnst Up 1,M% Up 2,M For Up 2,M Agnst Up 2,B% Down 2,B For Down 2,B Agnst Down 2,B% Down 1,B For Down 1,B Agnst Down 1,B% Tied,B For Tied,B Agnst Tied,B% Up 1,B For Up 1,B Agnst Up 1,B% Up 2,B For Up 2,B Agnst Up 2,Goal Differential Close,Fenwick Close Differential
0,0,17,0,0,25,2017,82,94,51.65,51.29,50.63,42.42,14,19,47.76,32,35,46.36,51,59,53.19,25,22,74.19,23,8,54.95,183,150,51.56,314,295,51.59,778,730,46.52,227,261,38.08,107,174,61.78,97,60,57.88,169,123,52.5,346,313,49.46,92,94,43.81,46,59,57.49,96,71,59.71,163,110,52.38,385,350,46.25,111,129,41.86,54,75,2,110
0,0,18,1,0,26,2017,82,95,50.97,50.31,48.74,22.73,5,17,56,28,22,56.35,71,55,53.33,40,35,46,23,27,60.29,164,108,51.27,302,287,49.21,651,672,46.33,404,468,43.12,185,244,57.03,73,55,61.85,167,103,53.56,346,300,45.1,184,224,37.33,81,136,73.98,91,32,62.86,198,117,53.69,371,320,44.7,194,240,37.44,82,137,11,0
1,3,6,0,0,27,2017,82,69,48.28,46.95,47.17,48.78,20,21,40.51,32,47,39.17,47,73,40,16,24,61.9,13,8,55.24,253,205,51.67,525,491,46.32,654,758,39.91,186,280,31.46,56,122,48.5,97,103,54.4,204,171,46.08,247,289,41.2,89,127,41.79,28,39,59.7,157,106,59.28,297,204,52,351,324,37.33,81,136,36.05,31,55,-45,-211
1,1,15,0,0,28,2017,82,87,48.82,49.07,48.51,42.11,16,22,48.57,34,36,48,60,65,58.21,39,28,48.57,17,18,55.52,191,153,51.56,348,327,49.61,631,641,43.55,304,394,43.85,114,146,62.02,80,49,56.68,157,120,48.3,255,273,46.59,123,141,43.69,45,58,56.02,93,73,52.51,199,180,46.5,299,344,46.11,154,180,42.31,44,60,-3,-78
0,2,7,1,0,29,2017,82,118,52.18,51.74,51.58,44.44,8,10,55.88,19,15,64.86,72,39,61.64,45,28,53.85,28,24,58.02,94,68,55.42,220,177,51.72,693,647,49.73,455,460,45.1,198,241,53.49,46,40,54.14,98,83,54.64,312,259,42.39,181,246,44.25,77,97,69.41,59,26,57.78,130,95,57.04,397,299,46.12,220,257,49.04,102,106,56,87
1,3,10,1,0,0,2017,60,72,50.17,50.45,50.84,58.82,10,7,55,22,18,53.61,52,45,52.27,23,21,52.17,12,11,56.91,70,53,57.5,207,153,50.28,540,534,48.15,339,365,44.27,112,141,50,28,28,63.03,104,61,49.17,266,275,43.77,151,194,39.81,43,65,59.26,48,33,59.06,101,70,49.21,281,290,41.97,162,224,39.17,47,73,17,25
1,3,8,0,0,1,2017,60,49,45.78,44.87,45.53,31.25,10,22,43.86,25,32,45,36,44,44.12,15,19,42.11,8,11,47.03,166,187,47.29,279,311,45,450,550,43.47,153,199,33.62,78,154,44.71,93,115,48.12,128,138,43.27,212,278,38.16,58,94,44.9,44,54,63.74,116,66,50.67,152,148,45.29,226,273,34.67,52,98,34.38,33,63,-34,-290
0,0,4,1,0,2,2017,60,66,54.85,55.26,56.18,45.83,11,13,43.59,17,22,55.45,56,45,38.78,19,30,56,14,11,64.71,121,66,61.64,286,178,56.96,581,439,50.27,282,279,48.28,112,120,70,63,27,62.87,127,75,53.93,240,205,50.98,130,125,45.83,44,52,72.55,74,28,66.26,163,83,52.91,300,267,38.22,99,160,50,69,69,-4,345
0,0,25,0,0,3,2017,60,62,47.51,47.22,47.13,45.83,11,13,50,29,29,41.3,38,54,45.71,16,19,47.83,11,12,53.36,119,104,49.1,356,369,48.31,516,552,43.69,239,308,34.4,75,143,55.68,49,39,52.96,143,127,48.93,205,214,42.47,93,126,40.22,37,55,53.61,52,45,50.91,167,161,49.27,235,242,36.97,88,150,29.47,28,67,-22,-144
0,2,13,0,0,4,2017,60,60,51.39,50.23,50.88,38.89,7,11,58.18,32,23,45.45,50,60,43.4,23,30,43.75,7,9,59.77,104,70,56.35,284,220,47.63,573,630,46.02,266,312,48.7,75,79,54.12,46,39,59.45,129,88,51.37,263,249,40,114,171,41.33,31,44,50.94,54,52,60.96,153,98,53.66,330,285,43.12,141,186,43.04,34,45,-14,-41
0,2,2,1,0,5,2017,60,83,51.97,51.6,51.68,61.9,13,8,47.62,20,22,53.85,49,42,53.19,25,22,81.82,18,4,60.56,109,71,57.68,263,193,49.62,584,593,47.25,292,326,43.8,120,154,59.09,39,27,59.87,94,63,47.64,212,233,40.49,100,147,42.86,45,60,58.51,55,39,63.04,145,85,50.96,293,282,43.1,128,169,34.81,47,88,27,-10
1,3,11,1,0,6,2017,60,64,50.19,50.37,51.63,37.5,6,10,56.41,22,17,46.25,37,43,60.47,26,17,65.52,19,10,59.59,87,59,52.06,240,221,52.45,471,427,46.31,201,233,45,108,132,53.7,29,25,52.71,107,96,50,186,186,43.43,86,112,43.52,47,61,60,45,30,57.5,138,102,49.15,259,268,42.17,97,133,42.06,45,62,13,16
1,1,1,1,0,7,2017,60,79,50.82,49.74,48.82,62.5,10,6,52.27,23,21,61.17,63,40,48.53,33,35,50,13,13,62.42,93,56,57.7,266,195,49.01,619,644,45.69,329,391,38.82,66,104,52.73,29,26,62.71,111,66,47.82,208,227,45.79,125,148,50.85,30,29,56.04,51,40,57.94,124,90,51.95,373,345,45.58,191,228,38.1,40,65,27,-13
1,1,0,0,0,8,2017,60,37,47.34,47.11,47.1,43.24,16,21,37.29,22,37,36.36,32,56,35.29,12,22,36.36,4,7,51.78,189,176,48.33,377,403,45.38,388,467,47.08,153,172,37.61,44,73,50.82,62,60,55.84,177,140,47.75,180,197,41.8,51,71,47.06,32,36,64.24,106,59,58.6,242,171,47.82,208,227,43.08,56,74,43.55,27,35,-57,-124
1,1,28,0,0,9,2017,60,56,50.22,50.93,50.62,44.44,12,15,46.51,20,23,47.83,44,48,59.09,26,18,58.33,14,10,63.3,169,98,54.84,300,247,52.6,556,501,43.42,188,245,44.44,76,95,66.13,82,42,57.14,136,102,52.22,259,237,40.67,85,124,39.77,35,53,60.39,93,61,57.39,198,147,49.21,313,323,45.95,119,140,38.04,35,57,2,68
0,0,24,0,0,10,2017,60,58,47.55,47.2,47.6,63.64,21,12,49.15,29,30,39.81,41,62,30.77,12,27,41.67,5,7,60.42,200,131,50.68,337,328,48.89,484,506,42.97,211,280,46.84,37,42,60.53,92,60,49.82,137,138,51.75,236,220,39.38,76,117,48.65,18,19,62.42,98,59,51.47,158,149,49.69,239,242,39.5,94,144,46.15,12,14,-30,-108
1,3,19,1,0,11,2017,60,72,50.53,51.37,51.27,50,8,8,55.77,29,23,49.45,45,46,51.16,22,21,60,15,10,62.28,104,63,55.62,287,229,49.95,536,537,49.83,296,298,38.15,66,107,56.76,42,32,57.39,132,98,51.47,228,215,42.08,93,128,48.35,44,47,63.33,57,33,52.29,160,146,47.37,279,310,38.7,125,198,32,40,85,11,67
0,0,20,0,0,12,2017,60,66,51.07,50.72,49.63,34.48,10,19,46.67,21,24,45.36,44,53,34.09,15,29,50,7,7,52.99,133,118,54.29,285,240,49.37,629,645,47.08,226,254,38.55,69,110,51.04,49,47,56.15,105,82,50.21,235,233,48,84,91,48.39,30,32,58.47,69,49,59.9,124,83,48.88,261,273,46.33,82,95,32.65,16,33,-35,19
1,3,16,0,0,13,2017,60,62,53.9,54.11,54.72,48.15,13,14,46,23,27,39.02,32,50,51.61,16,15,64.29,9,5,66.01,200,103,54.2,342,289,54.83,579,477,49.68,157,159,38.78,38,60,58.28,88,63,55.12,167,136,54.99,281,230,49.31,71,73,54.05,20,17,67.25,115,56,58.79,204,143,54.36,324,272,47.74,74,81,40.82,20,29,-18,233
1,1,29,1,0,14,2017,60,86,49.27,50.07,49.55,57.89,11,8,53.33,24,21,56.67,51,39,62.69,42,25,46.51,20,23,65.84,106,55,52.82,262,234,51.73,522,487,46.26,272,316,48.05,148,160,55.88,38,30,55.96,108,85,51.18,217,207,40.15,108,161,44.8,56,69,68.66,46,21,49.62,130,132,50.19,262,260,42.63,133,179,35.92,51,91,32,-1
0,0,5,1,0,15,2017,60,72,51.43,51.17,50.19,47.06,8,9,47.5,19,21,52.75,48,43,46.34,19,22,73.68,14,5,59.53,128,87,51.24,350,333,53.7,580,500,51.2,213,203,50.99,103,99,51.58,49,46,59.85,164,110,54.35,225,189,48.48,80,85,62.79,54,32,64.8,81,44,60.11,214,142,53.47,308,268,41.43,104,147,46.08,47,55,8,192
0,2,9,0,0,16,2017,60,60,45.82,46.07,46.31,36.36,12,21,33.33,17,34,41.89,31,43,41.94,13,18,26.67,4,11,52.16,217,199,48.91,225,235,46.27,441,512,42.95,198,263,42.11,56,77,52.53,83,75,53.19,100,88,46.21,189,220,43.58,78,101,50,27,27,55.28,89,72,54.5,115,96,43,209,277,41.44,75,106,27.78,15,39,-50,-188
1,1,22,1,0,17,2017,60,67,50.69,50.53,51.28,53.85,14,12,48.21,27,29,48.31,43,46,56.52,26,20,50,11,11,61.68,132,82,56.32,343,266,50.66,537,523,46.59,260,298,46.67,77,88,59.52,50,34,56.47,144,111,49.16,235,243,43.78,102,131,47.47,47,52,66.96,77,38,60.67,182,118,51.04,271,260,41.85,131,182,49.49,49,50,3,49
0,2,14,0,0,18,2017,60,68,48.06,48.82,49.49,47.37,9,10,60,30,20,52.63,60,54,50,29,29,52.38,11,10,50.39,64,63,56.88,248,188,48.53,512,543,48.2,334,359,37.96,93,152,53.13,34,30,56.91,107,81,45.65,215,256,40,100,150,41.24,40,57,77.78,49,14,56.67,136,104,47.95,281,305,42.09,149,205,40.71,57,83,16,-61
0,2,23,1,0,19,2017,60,80,48.55,49.39,49.04,51.85,14,13,46.94,23,26,53.57,45,39,46.51,20,23,54.55,12,10,53.46,139,121,54.53,247,206,49.76,612,618,42.15,220,302,44.37,67,84,54.46,55,46,57.87,125,91,47.68,267,293,44.83,104,128,39.24,31,48,56.95,86,65,59.62,158,107,43.2,251,330,40.2,123,183,34.18,27,52,3,-63
0,0,26,1,0,20,2017,60,72,47.46,48.29,48.84,64.29,9,5,55.81,24,19,47.62,40,44,57.69,30,22,42.31,11,15,57.82,85,62,54.87,293,241,49.17,501,518,49.26,268,276,45.59,124,148,44.83,26,32,54.1,132,112,44.54,216,269,41.7,98,137,35.96,41,73,62.03,49,30,53.35,175,153,49.58,296,301,38.91,121,190,37.01,57,97,9,-45
0,2,12,0,0,21,2017,60,63,50.72,50.76,50.83,40.74,11,16,46,23,27,48.75,39,41,53.13,17,15,64.29,9,5,56.65,98,75,53.41,282,246,51.12,661,632,48.12,141,152,42.86,66,88,62.2,51,31,51.74,119,111,53.95,287,245,43.18,57,75,45.21,33,40,54.81,57,47,58.94,178,124,48.27,377,404,47.7,83,91,31.15,38,84,-5,86
0,2,21,1,0,22,2017,60,82,50.32,51.51,51.32,23.81,5,16,64.86,24,13,55.1,54,44,57.97,40,29,60.53,23,15,56.05,88,69,53.38,213,186,50.25,607,601,47.46,299,331,48.79,141,148,57.14,36,27,51.11,69,66,49.28,206,212,45.74,102,121,50.43,58,57,58.33,42,30,56.13,119,93,48.06,297,321,40.51,126,185,43.37,72,94,29,-21
1,3,27,1,0,23,2017,60,77,52.07,52.23,52.9,50,10,10,52.78,19,17,58.89,53,37,50,29,29,65,13,7,62.71,74,44,58.54,264,187,51.48,505,476,47,235,265,47.04,167,188,66.23,51,26,54.46,116,97,51.75,251,234,51.07,119,114,50.57,88,86,58.7,54,38,57.19,159,119,48.54,316,335,47.99,155,168,37.04,80,136,24,117
1,1,3,1,0,24,2017,60,67,50.37,50.78,50.34,39.13,9,14,48.78,20,21,60.42,58,38,45.76,27,32,52.17,12,11,57.04,81,61,50.68,224,218,49.95,483,484,45.98,269,316,42.55,117,158,52.54,31,28,57.23,95,71,49.02,201,209,43.53,101,131,38.06,51,83,54.12,46,39,56.92,111,84,52.73,290,260,44.21,145,183,28.48,43,108,10,-56
0,0,17,0,0,25,2017,60,62,51.8,51.84,51.78,40,10,15,48.94,23,24,47.67,41,45,44.44,16,20,76.19,16,5,52.45,107,97,52.38,231,210,51.46,635,599,45.38,162,195,37.24,73,123,59.57,56,38,54.87,124,102,54.94,306,251,48.59,69,73,47.22,34,38,59.81,64,43,60.28,129,85,53.68,321,277,46.15,84,98,38.04,35,57,-3,97
0,0,18,1,0,26,2017,60,68,51.43,50.96,50.12,27.78,5,13,57.5,23,17,53.33,48,42,54.9,28,23,40.63,13,19,59.53,128,87,51.91,217,201,49.15,520,538,45.81,257,304,40.41,118,174,54.84,51,42,63.73,130,74,52.82,281,251,46.67,126,144,37.18,58,98,74.76,77,26,61.76,126,78,54.42,308,258,42.96,116,154,39.87,61,92,3,19
1,3,6,0,0,27,2017,60,58,48.4,47.26,47.21,46.15,12,14,42.37,25,34,41.86,36,50,43.75,14,18,62.5,10,6,54.08,192,163,52.01,349,322,45.06,461,562,38.27,137,221,31.95,54,115,48.41,76,81,54.39,130,109,45.48,181,217,39.63,65,99,42.19,27,37,58.5,117,83,62.07,198,121,52.41,250,227,38.98,69,108,36.14,30,53,-25,-207
1,1,15,0,0,28,2017,60,57,48.28,48.24,47.56,30.43,7,16,56.52,26,20,51.61,48,45,57.89,33,24,48.39,15,16,51.53,101,95,53.02,263,233,50.98,492,473,43.75,245,315,44.07,104,132,60.56,43,28,56.16,114,89,48.45,188,200,46.6,96,110,47.56,39,43,52.38,44,40,55.98,145,114,45.83,220,260,43.38,118,154,43.01,40,53,8,-22
0,2,7,1,0,29,2017,60,89,51.86,51.24,50.88,58.33,7,5,61.54,16,10,63.86,53,30,59.26,32,22,63.16,24,14,55.93,66,52,57.57,175,129,50.97,501,482,50.24,316,313,45.21,151,183,51.61,32,30,55.07,76,62,54.83,227,187,43.15,126,166,43.07,59,78,65,39,21,56.15,105,82,56.53,290,223,45.17,145,176,47.09,81,91,51,82
1,3,10,1,0,0,2017,40,48,49.98,50.23,50.16,50,5,5,62.5,15,9,54.69,35,29,51.72,15,14,68.75,11,5,58.25,60,43,59.42,123,84,49.29,345,355,49.31,249,256,47.31,88,98,52,26,24,60.58,63,41,48.72,171,180,42.86,111,148,38.64,34,54,56.72,38,29,63.27,62,36,47.59,178,196,44.7,118,146,38.37,33,53,19,-2
1,3,8,0,0,1,2017,40,30,45.4,44.49,45.2,36.84,7,12,47.5,19,21,48.39,30,32,40.74,11,16,40,6,9,46.92,122,138,47.24,180,201,45.37,304,366,44.71,114,141,33.53,56,111,38.73,55,87,45.21,66,80,41.26,144,205,37.61,41,68,46.58,34,39,58.47,69,49,49.71,85,86,45.78,152,180,31.86,36,77,36.36,28,49,-17,-212
0,0,4,1,0,2,2017,40,44,54.27,54.39,55.59,36.36,4,7,46.15,12,14,57.14,40,30,38.89,14,22,61.9,13,8,60,42,28,58.17,153,110,58.12,401,289,48.43,185,197,48.62,88,93,73.08,19,7,61.32,65,41,54.34,169,142,51.79,101,94,45.57,36,43,65.22,30,16,60.28,85,56,53.9,214,183,36.09,61,108,48.6,52,55,2,201
0,0,25,0,0,3,2017,40,41,48.35,47.69,47.97,37.5,6,10,52.5,21,19,37.7,23,38,45.45,10,12,46.67,7,8,54.17,65,55,48.91,224,234,49.05,386,401,42.42,165,224,35.47,61,111,56.9,33,25,54.14,98,83,48.99,146,152,41.22,61,87,40.3,27,40,53.33,32,28,47.21,93,104,48.96,164,171,40.27,60,89,36,27,48,-20,-101
0,2,13,0,0,4,2017,40,43,51.57,50.2,50.95,30.77,4,9,55,22,18,41.1,30,43,39.29,11,17,62.5,5,3,53.45,62,54,54.83,176,145,48.35,424,453,45.85,138,163,49.51,51,52,55.56,35,28,62.16,92,56,51.66,187,175,40.12,67,100,36.96,17,29,46.03,29,34,62.76,91,54,53.68,226,195,43.75,77,99,52.08,25,23,-18,-8
0,2,2,1,0,5,2017,40,60,52.36,52.24,51.83,63.16,12,7,44.12,15,19,52.46,32,29,52,13,12,90,9,1,59.39,98,67,57.98,189,137,50.18,423,420,46.58,177,203,42.86,48,64,61.67,37,23,53.64,59,51,46.18,145,169,37.41,52,87,41.46,17,24,61.63,53,33,64.29,117,65,48.68,203,214,41.92,70,97,38.18,21,34,13,-22
1,3,11,1,0,6,2017,40,44,48.73,48.42,50.3,60,6,4,58.06,18,13,47.37,27,30,59.26,16,11,60,12,8,60.95,64,41,52.78,171,153,51.02,325,312,44.19,114,144,45.5,86,103,63.16,24,14,57.04,81,61,48.62,123,130,49.15,58,60,44.16,34,43,53.19,25,22,59.77,104,70,48.77,178,187,42.38,64,87,45,36,44,13,12
1,1,1,1,0,7,2017,40,51,49.92,48.5,46.79,54.55,6,5,44,11,14,69.7,46,20,53.57,30,26,47.83,11,12,64.04,57,32,61.11,165,105,51.57,395,371,46.35,254,294,38.85,61,96,48.28,14,15,66.99,69,34,47.06,120,135,46.67,98,112,53.85,28,24,58.7,27,19,51.69,61,57,50.57,222,217,47.04,151,170,37.08,33,56,27,50
1,1,0,0,0,8,2017,40,27,45.67,45.79,46.14,50,12,12,37.5,15,25,37.93,22,36,40,10,15,37.5,3,5,51.95,120,111,48.01,290,314,47.74,254,278,46.77,94,107,40,32,48,46.67,35,40,60.61,140,91,51.94,134,124,40.66,37,54,58.54,24,17,67.57,75,36,61.88,198,122,50.38,133,131,38.55,32,51,47.73,21,23,-31,-19
1,1,28,0,0,9,2017,40,40,50.23,51.15,50.9,44,11,14,41.94,13,18,42.86,27,36,58.33,14,10,61.11,11,7,63.59,138,79,56.52,221,170,51.8,316,294,41.26,111,158,42.4,53,72,63,63,37,55.17,96,78,51.62,143,134,37.3,47,79,39.29,22,34,58.33,77,55,58.8,147,103,50.27,187,185,44.57,78,97,34.72,25,47,-9,21
0,0,24,0,0,10,2017,40,39,47.74,47.67,48.67,68.42,13,6,50,17,17,42.65,29,39,24,6,19,50,4,4,56.18,100,78,48.24,219,235,48.49,306,325,44.16,170,215,47.27,26,29,60,51,34,49.49,98,100,53.08,155,137,39.57,55,84,56,14,11,65.52,57,30,52.58,112,101,49.67,150,152,38.29,67,108,45.45,10,12,-16,-93
1,3,19,1,0,11,2017,40,47,51.49,51.93,51.67,46.15,6,7,50,17,17,54.39,31,26,60,18,12,59.09,13,9,61.61,69,43,51.82,157,146,50.71,320,311,48.95,209,218,38.13,53,86,56.9,33,25,53.19,75,66,50.76,134,130,40.13,63,94,57.35,39,29,57.81,37,27,45.16,84,102,46.4,174,201,36.82,88,151,33.98,35,68,14,-7
0,0,20,0,0,12,2017,40,42,52.62,52.54,51.49,31.82,7,15,43.33,13,17,49.3,35,36,32.26,10,21,45.45,5,6,56.52,91,70,55.18,197,160,47.09,421,473,46.35,127,147,41.28,45,64,54.1,33,28,55.88,76,60,48.7,150,158,45.79,49,58,54.05,20,17,56.34,40,31,61.43,86,54,49.04,179,186,44.35,55,69,35.48,11,20,-25,-36
1,3,16,0,0,13,2017,40,44,53.54,53.67,54.19,50,9,9,51.52,17,16,36.36,20,35,50,10,10,75,6,2,68,136,64,54.94,239,196,55.02,400,327,49.44,89,91,36.62,26,45,56.57,56,43,52.94,117,104,54.62,201,167,48.53,33,35,48,12,13,66.39,79,40,57.56,137,101,54.17,221,187,50,42,42,42.86,12,16,-10,159
1,1,29,1,0,14,2017,40,57,49.78,50.14,48.95,62.5,10,6,45.16,14,17,51.67,31,29,58.14,25,18,42.86,12,16,68.5,87,40,55.15,198,161,54.15,372,315,46.35,165,191,47.22,102,114,57.89,33,24,57.25,79,59,48.75,137,144,46.21,67,78,45.12,37,45,70.37,38,16,51.01,101,97,49.56,168,171,47.13,82,92,42.35,36,49,6,70
0,0,5,1,0,15,2017,40,56,51.12,50.94,50.74,42.86,6,8,44.83,13,16,49.18,30,31,45.45,10,12,90,9,1,57.97,80,58,49.79,242,244,52.01,388,358,52.45,139,126,46.59,41,47,48.21,27,29,60.51,118,77,54.88,163,134,50.98,52,50,68.75,33,15,61.73,50,31,58.74,158,111,52.7,215,193,39.07,59,92,58.82,30,21,0,113
0,2,9,0,0,16,2017,40,39,46.36,46.48,46.98,47.06,8,9,37.14,13,22,43.14,22,29,38.89,7,11,18.18,2,9,55.67,167,133,50.69,146,142,45.95,318,374,46.56,142,163,42,42,58,51.72,60,56,60.16,77,51,46.36,140,162,45.1,46,56,52.78,19,17,56.36,62,48,59.5,72,49,44.86,157,193,41.38,48,68,21.43,9,33,-28,-79
1,1,22,1,0,17,2017,40,41,51.11,50.38,51.45,63.16,12,7,44.12,15,19,52.54,31,28,56.76,21,16,37.5,6,10,63.13,113,66,57.02,199,150,49.71,344,348,46.76,209,238,44.8,56,69,58.82,40,28,57.55,80,59,49.32,146,150,44.63,79,98,45.57,36,43,64,64,36,58.28,95,68,53.13,178,157,40.56,101,148,48.28,42,45,5,14
0,2,14,0,0,18,2017,40,40,46.59,47.65,48.29,46.67,7,8,58.82,20,14,52.7,39,35,47.22,17,19,60,6,4,49.54,54,55,61.76,168,104,49.07,342,355,47.07,209,235,38.13,53,86,53.57,30,26,59.09,78,54,41.83,128,178,38.65,63,100,50.75,34,33,75,39,13,58,87,63,48.33,174,186,45.74,102,121,45.65,42,50,9,-38
0,2,23,1,0,19,2017,40,53,49,50.24,50,42.86,6,8,50,16,16,56.9,33,25,48.39,15,16,46.67,7,8,54.29,76,64,57.95,175,127,48.49,418,444,42.39,167,227,42.74,50,67,55.38,36,29,62.76,91,54,47.04,183,206,41.67,70,98,40,22,33,56.1,46,36,60.34,105,69,43.05,161,213,41.78,89,124,37.29,22,37,4,-52
0,0,26,1,0,20,2017,40,48,47.11,48.06,48.12,62.5,5,3,56.67,17,13,45.45,25,30,58.62,17,12,53.33,8,7,62.92,56,33,53.03,201,178,48.43,369,393,52.44,183,166,51.18,87,83,40.54,15,22,52.76,86,77,45.24,157,190,43.79,67,86,40,24,36,40.54,15,22,51.33,116,110,50.23,214,212,39.8,80,121,40.51,32,47,7,-27
0,2,12,0,0,21,2017,40,45,50.05,50.14,50.35,42.11,8,11,33.33,10,20,51.02,25,24,58.82,10,7,77.78,7,2,55.3,73,59,49.56,168,171,53.87,459,393,54.04,87,74,47.5,38,42,61.82,34,21,49.66,72,73,56.09,198,155,44.44,32,40,39.13,18,28,50,42,42,58.71,118,83,48.64,250,264,53.4,55,48,31.43,22,48,-4,110
0,2,21,1,0,22,2017,40,57,50.93,51.89,51.41,18.18,2,9,63.64,14,8,55.56,35,28,58.7,27,19,54.17,13,11,56.25,45,35,52.92,127,113,50.55,414,405,45.6,197,235,44.64,100,124,60,21,14,49.43,43,44,50.16,153,152,44.58,74,92,46.99,39,44,60.87,28,18,53.13,68,60,48.18,199,214,38.67,87,138,44.09,56,71,16,-33
1,3,27,1,0,23,2017,40,50,52.49,52.72,54.11,43.75,7,9,53.85,14,12,55.93,33,26,51.35,19,18,58.33,7,5,67.09,53,26,57.26,201,150,50.53,336,329,45,135,165,50.45,113,111,60,30,20,56.6,90,69,52,169,156,57.89,77,56,53.98,61,52,60,36,24,53.67,117,101,49.33,221,227,49.76,103,104,40.15,53,79,10,83
1,1,3,1,0,24,2017,40,47,50.68,51.02,50.3,46.67,7,8,47.62,10,11,61.67,37,23,51.28,20,19,57.14,8,6,63.64,63,36,50.87,146,141,50.23,328,325,49.05,206,214,39.42,82,126,62.5,20,12,56.7,55,42,46.62,124,142,41.57,69,97,38.24,39,63,54.39,31,26,58.12,68,49,49.72,178,180,47.26,112,125,24.59,30,92,15,-33
0,0,17,0,0,25,2017,40,42,50.37,51.03,51.35,50,5,5,67.86,19,9,50,32,32,43.33,13,17,70.59,12,5,54.67,41,34,54.7,157,130,51.46,492,464,43.36,111,145,36.36,52,91,66.67,22,11,54.41,74,62,56.49,248,191,50,56,56,40.35,23,34,66.67,24,12,63.28,81,47,56.06,273,214,48.61,70,74,37.93,22,36,13,90
0,0,18,1,0,26,2017,40,46,51.7,51.39,50.56,7.69,1,12,62.96,17,10,48.48,32,34,57.14,20,15,47.06,8,9,58.82,80,56,51.05,146,140,45.28,312,377,46.72,178,203,36.99,64,109,56.67,34,26,65.38,85,45,52.59,203,183,44.89,79,97,42.53,37,50,71.01,49,20,58.62,85,60,53.96,218,186,43.11,72,95,44.3,35,44,-2,-42
1,3,6,0,0,27,2017,40,41,48.39,47.48,46.99,44.44,8,10,44.74,17,21,34.48,20,38,36.84,7,12,57.14,4,3,49.1,136,141,54.71,244,202,45.98,337,396,39.73,87,132,32.56,28,58,46.67,56,64,56.95,86,65,44.25,127,160,34.44,31,59,37.14,13,22,59.38,95,65,65.49,148,78,51.16,177,169,37.5,39,65,35.56,16,29,-28,-102
1,1,15,0,0,28,2017,40,39,47.91,47.83,46.91,38.89,7,11,60,21,14,44.93,31,38,61.76,21,13,44.44,8,10,51.68,77,72,53.77,214,184,50.08,297,296,44.2,164,207,40.15,55,82,58.33,28,20,53.99,88,75,49.8,126,127,46.26,68,79,50,24,24,53.13,34,30,53.92,110,94,44.81,138,170,44.33,86,108,39.66,23,35,2,-11
0,2,7,1,0,29,2017,40,57,52.3,51.58,51.4,50,5,5,43.75,7,9,68.63,35,16,57.14,24,18,55.56,15,12,59.26,64,44,62.5,100,60,50.23,326,323,50.71,213,207,44.49,105,131,48.08,25,27,54.29,38,32,53.82,155,133,43.09,81,107,33.33,32,64,67.27,37,18,48.45,47,50,55.85,191,151,49.04,102,106,45.6,57,68,26,51
1,3,10,1,0,0,2017,20,22,50.26,49.6,49.57,66.67,2,1,80,8,2,59.46,22,15,52.94,9,8,75,6,2,69.57,16,7,56.38,53,41,51.08,190,182,46.79,124,141,48.39,60,64,66.67,8,4,67.35,33,16,51.52,102,96,42.45,59,80,39.06,25,39,55.56,10,8,71.43,35,14,45.73,91,108,44.74,68,84,36.92,24,41,19,5
1,3,8,0,0,1,2017,20,18,46.13,45.09,46.61,42.86,3,4,47.06,8,9,51.61,16,15,38.46,5,8,16.67,1,5,45.86,72,85,45.58,98,117,44.57,164,204,47.14,66,74,35.29,24,44,44.29,31,39,40,34,51,42.7,79,106,40.3,27,40,40.91,9,13,57.14,36,27,41.43,29,41,38.18,63,102,35.94,23,41,55.17,16,13,-8,-124
0,0,4,1,0,2,2017,20,22,52.98,53.12,54.36,42.86,3,4,36.36,4,7,63.33,19,11,44.44,8,10,66.67,6,3,54.05,20,17,50.39,64,63,61.22,210,133,43.5,77,100,42.42,42,57,58.33,7,5,57.89,33,24,52.5,84,76,51.9,41,38,45.45,20,24,60,18,12,57.14,40,30,54.3,101,85,39.44,28,43,50.79,32,31,5,75
0,0,25,0,0,3,2017,20,19,49.2,48.2,49.42,0,0,5,44.44,8,10,34.48,10,19,42.86,6,8,50,4,4,56.92,37,28,53.47,108,94,50.81,189,183,43.24,112,147,46.77,29,33,73.08,19,7,48.39,30,32,49.01,74,77,47.78,43,47,40,8,12,60,18,12,42.17,35,48,50,88,88,44.93,31,38,39.13,9,14,-18,-24
